time,x,y,z
1701141350276,0.21471083,-0.1997385,0.216753
1701141350314,0.3129382,-0.14820862,0.18722725
1701141350355,0.062500715,-0.33425856,0.20499134
1701141350398,-0.14230192,-0.36296606,0.056468964
1701141350437,0.09480286,-0.23496151,0.14388752
1701141350476,-0.057780027,-0.29514265,0.15261555
1701141350524,-0.11258781,-0.30601835,0.3007574
1701141350565,0.09193921,-0.16135788,0.27638912
1701141350600,0.6755495,0.08300543,0.618845
1701141350642,0.7559686,0.24784899,1.4475698
1701141350679,1.0094137,0.40299797,1.8769264
1701141350732,1.8400779,0.7064471,3.6341124
1701141350763,1.6585476,0.5969,4.1015797
1701141350801,2.0284784,0.2698741,5.578412
1701141350842,1.898536,-0.13075638,5.126832
1701141350882,1.9400573,-0.18638468,4.164992
1701141350926,3.5168104,-0.82618,5.3767395
1701141350963,2.7615287,-2.545876,2.9593987
1701141351005,2.8729386,-4.0466003,1.1613584
1701141351046,0.26113963,-6.9268274,-0.4750309
1701141351092,-2.8176556,-8.908161,-2.6482198
1701141351129,-7.1528344,-12.5207,-4.940515
1701141351165,-19.285019,-25.519678,-10.184055
1701141351207,-26.545977,-45.555885,-4.803115
1701141351253,-9.668318,-61.777485,-2.6881933
1701141351290,27.96334,-47.87426,12.670513
1701141351328,53.573944,-25.298477,12.753312
1701141351368,29.475536,-4.7845078,12.888571
1701141351414,19.608871,2.5414395,3.3848906
1701141351449,15.094727,0.55251324,6.1612062
1701141351491,13.083579,-2.342516,2.9053273
1701141351530,7.3339396,-5.9728847,1.4696722
1701141351571,4.5016623,-7.552491,2.3859353
1701141351621,3.7646933,-9.316995,1.7762618
1701141351652,0.55440426,-10.196351,-0.06748438
1701141351692,0.1633172,-9.65576,0.16543365
1701141351735,-0.83698034,-9.774286,0.54899216
1701141351776,-1.7248203,-8.53626,0.34237123
1701141351814,-1.6162591,-7.341803,0.30937552
1701141351854,-1.5775864,-6.5730963,-0.17902488
1701141351896,-1.5761492,-6.756529,-0.73297703
1701141351936,-4.192334,-7.8146944,-1.198475
1701141351976,-5.793291,-9.868513,-1.6780709
1701141352017,-9.146805,-18.065388,-0.8880068
1701141352060,-34.145542,-41.236965,1.6017592
1701141352100,-15.620123,-76.289536,1.681108
1701141352144,42.510983,-59.153957,14.017945
1701141352181,54.773773,-28.337713,14.839815
1701141352219,31.5177,-3.3051867,6.5597734
1701141352266,20.96099,2.3567145,3.9841576
1701141352299,12.988079,0.8812351,0.98913336
1701141352340,9.655581,-0.72990894,0.9225447
1701141352381,6.9311495,-4.3595805,1.146321
