time,x,y,z
1701672357670,0.037638187,0.007263899,0.27552032
1701672357710,-0.16773939,0.013269186,0.075242996
1701672357748,-0.26137543,0.1155107,-0.0040664673
1701672357791,-0.08745885,0.12348771,0.010404587
1701672357829,0.023026228,0.049818516,0.048482895
1701672357870,-0.08953643,0.06772566,0.020108223
1701672357912,-0.09994078,0.16562271,-0.05405426
1701672357950,0.017787457,0.25598645,-0.29302788
1701672357991,0.14494157,0.3680935,-0.47600937
1701672358032,0.41269183,0.9692652,-0.96769
1701672358075,0.5575695,1.7620413,-1.4339347
1701672358116,0.5915704,2.9185567,-0.61269665
1701672358153,0.22050476,3.135215,0.7193494
1701672358195,-0.8116524,2.9368572,1.4084339
1701672358234,-2.425211,1.7053161,1.5726123
1701672358272,-4.1121445,0.37813663,1.685514
1701672358316,-5.053745,-1.7640576,1.4791255
1701672358353,-4.3966393,-0.47619057,-0.90768385
1701672358394,-3.817592,0.006041527,-1.6119797
1701672358434,-2.252265,-0.39491987,-2.507981
1701672358474,-0.5014529,-0.44626856,-2.606766
1701672358515,1.3900886,-1.7515831,-1.6912162
1701672358559,2.8771,-1.5380809,-0.9558902
1701672358602,4.498459,-1.8426867,-0.9893913
1701672358638,4.2683916,-1.3936424,-0.49233484
1701672358681,3.081174,-1.2703993,0.07987499
1701672358717,2.041668,-0.6439973,-0.69124985
1701672358758,1.1683102,0.33575368,-0.48046732
1701672358798,1.1470766,0.23246169,0.13946438
1701672358840,0.7183142,-0.02495706,0.40137577
1701672358880,1.1670895,-0.47438443,1.0670714
1701672358920,1.6787863,-0.9766505,1.0921831
1701672358961,1.6261787,0.22078979,0.3872285
1701672359002,0.96775913,0.7975291,-0.6235359
1701672359042,-0.050297737,0.015348911,0.11173582
1701672359084,0.55912685,-0.021358252,0.09017086
1701672359127,0.9526024,0.1613537,0.17994404
1701672359168,0.4255829,-0.25181675,-0.6051855
1701672359205,0.17308521,0.09296489,-7.815361E-4
1701672359246,0.22504997,-0.5656574,0.21323061
1701672359286,-0.09217167,0.52678716,-0.9465251
1701672359327,-0.010297775,0.28227615,-0.1392808
1701672359369,-0.09629822,0.32264113,-0.086716175
1701672359408,-0.8076229,0.44577765,-0.38700628
1701672359449,-0.7706976,0.35425663,0.1276846
1701672359489,-1.0085502,-0.028727055,0.17530918
1701672359530,-0.7961731,-0.4214909,2.0959597
1701672359573,-0.8635597,-0.2810037,0.33783388
1701672359612,-0.2528572,-0.29486585,0.8235321
1701672359658,-0.17535639,-0.30032682,-0.013780594
1701672359693,0.037425995,-0.007646799,-0.0055041313
1701672359733,0.09249449,-0.17710519,-0.041643143
1701672359771,0.1789918,-0.4458289,-0.1729083
1701672359813,0.11736202,-0.22449327,-0.12745428
1701672359854,0.021377563,-0.20386124,-0.19643354
1701672359895,0.037092686,-0.06106901,-0.15212965
1701672359934,0.11193752,0.015029192,-0.24181461
1701672359975,0.4439168,-0.03971505,-0.2001586
1701672360015,0.74529743,0.243752,-0.18913364
1701672360056,1.2015953,0.10495186,-0.17004728
1701672360111,0.95844173,-0.17794108,-0.423069
1701672360142,0.4821744,0.11374855,-0.12942457
1701672360181,-0.4047084,-0.18285513,-0.2813282
1701672360219,-1.8092942,0.22800231,-0.25624132
1701672360258,-1.9417005,0.26839375,0.3686266
1701672360306,-0.15127516,0.035643578,1.0480571
1701672360339,0.49850273,-0.22429895,0.8363228
1701672360380,0.4935012,0.012265205,0.77982235
1701672360421,-0.24474096,0.3769915,-0.042070866
1701672360462,-0.43482876,0.35128236,-0.55997753
1701672360507,0.057583332,-0.09570646,-0.19597101
1701672360543,0.586442,0.057142735,-0.42986155
1701672360586,0.671659,-0.1366682,0.35731697
1701672360627,0.7996321,-0.026008606,0.5900698
1701672360665,0.42206,0.73872876,-0.18132782
1701672360728,-0.59994316,-0.9288411,1.0743322
1701672360762,-0.5602155,-0.8850088,1.4485736
1701672360788,-1.6337795,0.1580019,-0.041972637
1701672360826,-1.0917778,0.6084094,-0.31803513
1701672360867,-0.2787118,1.4159694,-0.23433876
1701672360907,-0.21301174,1.2943196,-1.7653782
1701672360950,-0.14875555,-0.31707954,-0.72417295
1701672360988,-0.8069577,1.3004904,-1.5725605
1701672361029,-0.6622577,-1.7366886,-0.05682683
1701672361068,-1.3050985,0.14721394,-0.47461855
1701672361113,0.15692759,0.6345129,0.92752635
1701672361150,0.6861825,-1.3711615,1.0053308
1701672361193,0.5547757,0.0911026,0.4953736
1701672361235,1.1083412,-0.38115025,1.1156163
1701672361271,1.089705,0.043527603,0.6859416
1701672361312,1.1704617,-0.544878,0.8351685
1701672361352,1.0395875,-0.3248706,0.25326788
1701672361392,0.48862886,0.5420432,0.5964674
1701672361436,0.27844334,-0.5150194,0.06779027
1701672361475,0.19968939,-0.10344076,-0.4463848
1701672361515,-0.09209347,0.124752045,-0.14093459
1701672361554,-0.23094559,0.40994358,0.1832329
1701672361599,-0.061093807,0.04851818,0.21653092
1701672361638,0.20141792,-0.16129017,-0.2986269
1701672361677,0.23460579,-0.78452635,-0.11173844
1701672361719,0.1700077,0.66527414,0.09565961
1701672361765,-0.10468149,-0.19858694,-0.08961952
1701672361799,-0.08756113,0.45957565,0.045283437
1701672361839,-0.17982054,-0.32542467,0.19283104
1701672361879,-0.069890976,-0.232656,0.19750237
1701672361920,0.06200838,0.25525093,0.118451
1701672361961,0.08445883,0.08753538,0.19910288
1701672362001,0.05633211,0.025802135,-0.10374594
1701672362041,-0.053268433,0.14055061,-0.05215144
1701672362082,-0.13713121,0.24056482,0.2641405
1701672362121,-0.27568722,0.051228046,0.16848087
1701672362163,-0.31490088,-0.039092064,0.30444902
1701672362202,-0.37162113,0.6768465,0.3654145
1701672362245,0.08208275,-0.5752492,0.19210523
1701672362289,0.29928875,-0.19688702,-0.28847814
1701672362324,0.11959267,-0.2520342,-0.2127347
1701672362365,-0.35692596,0.13964033,0.1458835
1701672362406,-0.36353636,0.13115883,-0.18317223
1701672362448,-0.27957487,-0.17264509,-0.28949577
1701672362487,-0.103447914,-0.25095367,-0.060967624
1701672362530,-0.01751995,-0.37101078,-0.11472303
1701672362568,0.32386827,0.5856147,0.370295
1701672362612,0.51786757,-0.09462881,0.21036212
1701672362652,1.0363197,-0.15297127,0.012724826
1701672362689,0.91036844,0.16748905,0.07821499
1701672362733,1.180459,0.7040596,-0.22796845
1701672362771,2.301073,-1.6239743,-1.1392862
1701672362815,2.9432416,-0.6624923,-1.0149664
1701672362852,2.0441432,0.10988712,-1.4601939
1701672362892,0.100013256,1.4376898,-0.7942068
1701672362933,-1.192009,0.23206615,-0.8922874
1701672362973,-1.4245625,0.032592773,-0.14011276
1701672363013,-1.545845,0.4351244,0.3902601
1701672363057,-1.5506186,-0.6467514,0.8260015
1701672363095,-1.5272632,0.7765331,1.5908561
1701672363135,-0.91813374,-1.010109,1.6895612
1701672363175,-0.67013645,-0.07885265,0.28435826
1701672363217,0.07337189,0.39165592,0.23921323
1701672363256,0.056014538,0.15017605,0.63559335
1701672363298,0.0069355965,0.5114255,0.42208403
1701672363345,-0.43865967,-0.8261695,-0.12940481
1701672363381,0.022531986,0.8002391,-0.62544596
1701672363418,0.34087038,0.17508268,0.2145584
1701672363460,0.12671375,-0.11650705,0.28481352
1701672363505,0.06658745,-0.46166086,-0.021528125
1701672363540,0.33763313,0.44895792,-0.16463703
1701672363582,0.77657604,0.085752964,-0.24609432
1701672363624,-0.29104996,0.29751062,0.355125
1701672363663,-0.20818567,-0.086586,0.6200857
1701672363705,0.04180813,0.22528696,0.65919816
1701672363745,-0.26706028,0.18500566,0.022627175
1701672363783,0.091342926,0.026118279,-0.23546246
1701672363824,-0.2491703,0.08927584,-0.091097236
1701672363868,0.32151222,-0.34287214,-0.12545317
1701672363907,0.017630577,-0.192729,0.079331934
1701672363945,0.30742073,0.32471323,-0.35849014
1701672363985,-0.0011539459,-0.21064472,0.06898719
1701672364027,-0.06307316,-0.026202202,0.25619763
1701672364068,0.116396904,0.22415781,0.08496404
1701672364110,0.20866585,0.48475313,0.28054184
